actorName | [backToCompensate - ] currentPosition | move | result
navi | (0, 0, leftDir) | a | (0, 0, downDir)
GOAL REACHED: RH | 0, 0
GOAL: table | 2, 2
navi | (0, 0, downDir) | w | (0, 1, downDir)
navi | (0, 1, downDir) | w | (0, 2, downDir)
navi | (0, 2, downDir) | a | (0, 2, rightDir)
navi | (0, 2, rightDir) | w | (1, 2, rightDir)
navi | (1, 2, rightDir) | w | (2, 2, rightDir)
GOAL REACHED: table | 2, 2
GOAL: dishWasher | 5, 4
navi | (2, 2, rightDir) | d | (2, 2, downDir)
navi | (2, 2, downDir) | w | (2, 3, downDir)
navi | (2, 3, downDir) | w | (2, 4, downDir)
navi | (2, 4, downDir) | a | (2, 4, rightDir)
navi | (2, 4, rightDir) | w | (3, 4, rightDir)
navi | (3, 4, rightDir) | w | (4, 4, rightDir)
navi | (4, 4, rightDir) | w | (5, 4, rightDir)
navi | (5, 4, rightDir) | a | (5, 4, upDir)
navi | (5, 4, upDir) | a | (5, 4, leftDir)
navi | (5, 4, leftDir) | a | (5, 4, downDir)
GOAL REACHED: dishWasher | 5, 4
GOAL: table | 4, 4
navi | (5, 4, downDir) | d | (5, 4, leftDir)
navi | (5, 4, leftDir) | w | (4, 4, leftDir)
navi | (4, 4, leftDir) | a | (4, 4, downDir)
navi | (4, 4, downDir) | a | (4, 4, rightDir)
navi | (4, 4, rightDir) | a | (4, 4, upDir)
GOAL REACHED: table | 4, 4
GOAL: fridge | 6, 0
navi | (4, 4, upDir) | d | (4, 4, rightDir)
navi | (4, 4, rightDir) | w | (5, 4, rightDir)
navi | (5, 4, rightDir) | a | (5, 4, upDir)
navi | (5, 4, upDir) | w | (5, 3, upDir)
navi | (5, 3, upDir) | w | (5, 2, upDir)
navi | (5, 2, upDir) | w | (5, 1, upDir)
navi | (5, 1, upDir) | w | (5, 0, upDir)
navi | (5, 0, upDir) | d | (5, 0, rightDir)
navi | backToCompensate - (5, 0, rightDir) | s | (5, 0, rightDir)
navi | backToCompensate - (5, 0, rightDir) | h | (5, 0, rightDir)
navi | backToCompensate - (5, 0, rightDir) | s | (5, 0, rightDir)
navi | backToCompensate - (5, 0, rightDir) | h | (5, 0, rightDir)
navi | (5, 0, rightDir) | w | (6, 0, rightDir)
navi | (6, 0, rightDir) | a | (6, 0, upDir)
GOAL REACHED: fridge | 6, 0
GOAL: RH | 0, 0
navi | (6, 0, upDir) | a | (6, 0, leftDir)
navi | (6, 0, leftDir) | w | (5, 0, leftDir)
navi | (5, 0, leftDir) | w | (4, 0, leftDir)
navi | (4, 0, leftDir) | w | (3, 0, leftDir)
navi | (3, 0, leftDir) | w | (2, 0, leftDir)
navi | (2, 0, leftDir) | w | (1, 0, leftDir)
navi | backToCompensate - (1, 0, leftDir) | s | (1, 0, leftDir)
navi | backToCompensate - (1, 0, leftDir) | h | (1, 0, leftDir)
navi | (1, 0, leftDir) | w | (0, 0, leftDir)
navi | (0, 0, leftDir) | a | (0, 0, downDir)
GOAL REACHED: RH | 0, 0
